BatteryLevel,State,DistanceL,DistanceR,SpeedLExp,SpeedRExp,SpeedLBuff,SpeedRBuff,OutputL,OutputR
2.81,5,110.45,-527.2,-132.61,-114.55,-72.14,-57.71,-0.46,0.47
2.81,5,100.14,-518.36,-115.9,-61.23,-100.75,86.35,-0.46,0.47
2.8,5,86.88,-509.53,-117.4,-0.34,-134.04,89.36,-0.46,0.47
2.82,5,73.63,-497.75,-126.03,38.19,-128.44,114.17,-0.46,0.47
2.82,5,60.38,-488.91,-127.78,61.96,-140.06,98.04,-0.46,0.47
2.81,5,45.65,-478.6,-132.3,78.2,-148.8,104.16,-0.46,0.47
2.81,5,32.4,-468.29,-134.86,87.03,-135.29,90.19,-0.46,0.47
2.82,5,23.56,-457.99,-123.5,91.21,-89.23,104.1,-0.46,0.47
2.81,5,13.25,-449.15,-111.65,92.84,-105.68,90.58,-0.46,0.47
2.81,5,0,-438.84,-114.38,93.27,-135.03,105.03,-0.46,0.47
2.82,5,-13.25,-428.53,-122.86,94.52,-135.09,105.07,-0.46,0.47
2.82,5,-27.98,-419.7,-129.96,97.85,-140.86,98.6,-0.46,0.47
2.81,5,-42.71,-409.39,-135.71,99.19,-150.27,105.19,-0.5,0.46
2.82,5,-57.43,-399.08,-141.04,99.24,-150.25,105.17,-0.5,0.46
2.81,5,-67.74,-390.24,-136.54,98.61,-106.33,91.14,-0.5,0.46
2.81,5,-78.05,-381.41,-121.03,95.45,-99.22,85.05,-0.5,0.46
2.81,5,-92.78,-371.1,-124.97,93.63,-151.09,104.98,-0.5,0.46
2.82,5,-108.97,-360.79,-135.44,96.71,-162.19,103.13,-0.5,0.46
2.81,5,-123.7,-350.48,-142.67,99.18,-157.11,99.98,-0.5,0.46
2.82,5,-139.9,-340.18,-147.98,99.13,-150.05,105.03,-0.5,0.46
2.82,5,-154.63,-331.34,-150.55,99.99,-150.89,90.53,-0.5,0.46
2.83,5,-164.93,-321.03,-140.15,99.51,-105.59,90.5,-0.5,0.46
2.82,5,-176.71,-312.2,-126.37,97.22,-120.12,90.09,-0.5,0.46
2.83,5,-191.44,-301.89,-129.79,98.26,-150.29,105.2,-0.5,0.46
2.81,5,-206.17,-291.58,-137.55,100.48,-151.96,106.37,-0.5,0.46
2.81,5,-222.37,-281.27,-145,100.71,-156.82,99.8,-0.5,0.46
2.81,5,-237.09,-270.96,-149.02,100.88,-150.5,105.35,-0.5,0.46
2.81,5,-251.82,-262.13,-149.5,100.52,-135.83,90.55,-0.5,0.46
2.81,5,-260.65,-251.82,-132.98,97.78,-90.2,90.2,-0.5,0.46
2.81,5,-273.91,-242.98,-124.3,95.75,-127.45,84.97,-0.5,0.46
2.81,5,-288.63,-232.67,-132.79,98.13,-150.47,105.33,-0.5,0.46
2.81,5,-304.83,-222.37,-141.61,99.49,-150.66,105.47,-0.5,0.46
2.82,9,-319.56,-212.06,-147.43,99.66,-148.62,104.03,-0.5,0.46
2.83,9,-331.34,-206.17,-147.4,96.37,-110.45,55.22,0,0
2.7,9,-323.98,-200.28,-100.08,71.44,71.49,57.19,1.14,1.14
2.79,9,-297.47,-178.19,12.19,103.51,276.95,218.64,1.14,1.14
2.73,9,-260.65,-154.63,137.66,156.56,367.98,250.23,1.14,1.14
2.67,9,-253.29,-141.37,173.99,178.49,95.11,135.88,-1.18,-1.18
2.72,9,-278.33,-160.52,58.72,81.09,-255.9,-195.68,-1.06,-1.06
2.74,9,-306.31,-184.08,-66.02,-39.28,-296.43,-237.14,-0.95,-0.95
2.81,9,-338.7,-206.17,-170.36,-114.67,-316.26,-225.9,-0.81,-0.81
2.82,9,-363.74,-225.31,-214.46,-150.25,-247.35,-189.15,-0.68,-0.68
2.82,9,-382.88,-240.04,-209.54,-153.81,-191.66,-147.43,-0.57,-0.57
2.82,9,-399.08,-251.82,-198.28,-145.48,-161.43,-117.41,-0.46,-0.46
2.82,9,-413.81,-260.65,-182.75,-130.45,-138.91,-83.35,-0.34,-0.34
2.81,5,-424.12,-269.49,-158.47,-112.59,-102.68,-88.01,-0.37,-0.49
2.82,5,-435.9,-279.8,-139.47,-105.57,-118.1,-103.34,-0.37,-0.49
2.82,5,-446.2,-288.63,-127.85,-103.93,-105.23,-90.19,-0.37,-0.49
2.82,5,-452.09,-300.41,-110.75,-103.77,-58.28,-116.56,-0.37,-0.49
