BatteryLevel,State,DistanceL,DistanceR,SpeedL,SpeedR
3,5,3711.01,-1846.67,0,-1.36
3,5,3711.01,-1905.57,0,-75.69
2.99,5,3711.01,-1983.62,0,-79.18
2.99,5,3772.86,-1932.08,76.59,73.74
2.99,5,3814.09,-1887.9,11.05,12.77
2.99,5,3814.09,-1887.9,0.08,0.12
2.99,5,3814.09,-1887.9,0,0
2.99,5,3786.11,-1954.17,-36.76,-78.55
2.99,5,3780.22,-2027.8,-0.82,-72.29
2.99,5,3830.29,-1992.46,61.3,55.94
2.85,5,3937.79,-1839.3,102.47,209.35
2.85,5,3853.85,-1827.52,-46.02,-53.73
2.99,5,3792,-1909.99,-71.95,-105.57
2.99,5,3778.75,-1867.28,-2.26,60.65
2.99,5,3778.75,-1803.96,-0.02,67.19
2.99,5,3778.75,-1740.64,-0,62.35
2.99,5,3778.75,-1714.13,-0,5.58
2.98,5,3778.75,-1714.13,-0,0.04
2.98,5,3778.75,-1714.13,-0,0
2.98,5,3778.75,-1714.13,-0,0
2.98,5,3778.75,-1714.13,-0,0
2.99,5,3806.73,-1759.78,33.34,-54.33
2.99,5,3837.65,-1818.69,39.44,-61.02
2.99,5,3881.83,-1778.93,16.74,21.01
2.98,5,3881.83,-1778.93,0.13,0.16
2.98,5,3858.27,-1843.72,-21.05,-77.52
2.99,5,3830.29,-1921.77,-20.7,-75.48
2.99,5,3880.36,-1879.07,55.06,60.18
2.87,5,3892.14,-1879.07,120.88,123.57
2.87,5,3855.32,-1908.52,23.09,17.37
2.99,5,3775.8,-1977.73,-43.09,22.88
2.98,5,3824.4,-2018.96,59.04,-59.37
2.98,9,3845.01,-2044,3.35,-4.01
2.97,6,3899.5,-1989.51,119.54,116.45
2.98,6,4034.98,-1859.92,140.75,131.05
2.98,6,4173.41,-1731.8,140.94,129.23
2.97,6,4310.36,-1603.68,140.91,111.01
2.97,6,4422.28,-1544.78,107.21,72.4
3.1,7,4473.82,-1491.77,13.67,14.78
3.11,7,4473.82,-1491.77,0.11,0.12
3.11,7,4473.82,-1491.77,0,0
3.1,7,4473.82,-1491.77,0,0
3.11,7,4473.82,-1491.77,0,0
3.11,7,4473.82,-1491.77,0,0
3.11,7,4473.82,-1491.77,0,0
3.11,7,4473.82,-1491.77,0,0
3.11,7,4473.82,-1491.77,0,0
3.11,7,4473.82,-1491.77,0,0
3.11,7,4473.82,-1491.77,0,0
3.11,7,4473.82,-1491.77,0,0
3.12,7,4473.82,-1491.77,0,0
3.12,7,4473.82,-1491.77,0,0
3.12,7,4473.82,-1491.77,0,0
3.12,7,4473.82,-1491.77,0,0
